ABC-123;542;3850;kártya
QWE-456;1280;7420;készpénz
RTZ-991;312;2100;utalás
KLM-555;845;4990;csekk
HJK-222;430;3200;-
XYZ-777;999;6150;kártya
AAA-111;215;1800;készpénz
BBB-222;1570;11200;utalás
CCC-333;621;4550;csekk
DDD-444;288;2300;-
EEE-555;1340;8900;kártya
FFF-666;475;3650;készpénz
GGG-777;760;5200;utalás
HHH-888;980;6400;csekk
III-999;110;1500;-
JKL-321;1450;9700;kártya
MNO-654;540;4100;készpénz
PQR-987;305;2750;utalás
STU-741;860;5900;csekk
VWX-852;129;1650;-
YZA-963;700;5300;kártya
BCD-147;420;3400;készpénz
EFG-258;1110;7800;utalás
HIJ-369;250;2200;csekk
KOP-159;930;6200;-
LMN-753;510;3950;kártya
OPQ-852;1400;10200;készpénz
RST-951;330;2600;utalás
UVW-357;780;5450;csekk
XYZ-159;190;1750;-
AAA-222;1040;7100;kártya
BBB-333;610;4700;készpénz
CCC-444;350;2850;utalás
DDD-555;890;6050;csekk
EEE-666;275;2400;-
FFF-777;1320;9400;kártya
GGG-888;455;3600;készpénz
HHH-999;740;5100;utalás
III-111;1180;8200;csekk
JKL-222;160;1550;-
MNO-333;670;5000;kártya
PQR-444;1490;10800;készpénz
STU-555;390;3000;utalás
VWX-666;820;5750;csekk
YZA-777;210;1900;-
BCD-888;1260;8600;kártya
EFG-999;500;3850;készpénz
HIJ-111;720;5150;utalás
KOP-222;970;6550;csekk
LMN-333;140;1600;-
OPQ-444;1090;7500;kártya
RST-555;580;4350;készpénz
UVW-666;310;2550;utalás
XYZ-777;840;5900;csekk
AAA-888;225;2050;-
BBB-999;1370;9650;kártya
CCC-111;460;3550;készpénz
DDD-222;790;5400;utalás
EEE-333;1010;6900;csekk
FFF-444;175;1700;-
GGG-555;1200;8450;kártya
HHH-666;530;4000;készpénz
III-777;340;2700;utalás
JKL-888;880;6100;csekk
MNO-999;260;2250;-
PQR-111;1430;10150;kártya
STU-222;640;4850;készpénz
VWX-333;295;2450;utalás
YZA-444;920;6350;csekk
BCD-555;155;1650;-
EFG-666;1140;7900;kártya
HIJ-777;490;3700;készpénz
KOP-888;760;5250;utalás
LMN-999;990;6650;csekk
OPQ-111;130;1500;-
RST-222;1240;8700;kártya
UVW-333;550;4200;készpénz
XYZ-444;320;2650;utalás
AAA-555;850;6000;csekk
BBB-666;205;1850;-
CCC-777;1360;9500;kártya
DDD-888;470;3600;készpénz
EEE-999;710;5050;utalás
FFF-111;1150;8000;csekk
GGG-222;180;1750;-
HHH-333;1070;7350;kártya
III-444;600;4500;készpénz
JKL-555;345;2800;utalás
MNO-666;905;6200;csekk
PQR-777;145;1600;-
STU-888;1275;8850;kártya
VWX-999;520;3950;készpénz
YZA-111;735;5150;utalás
BCD-222;960;6500;csekk
EFG-333;170;1700;-
HIJ-444;1195;8300;kártya
KOP-555;440;3450;készpénz
LMN-666;785;5500;utalás
OPQ-777;1005;6800;csekk
RST-888;195;1800;-
UVW-999;1310;9200;kártya
XYZ-111;560;4300;készpénz
AAA-333;300;2500;utalás
BBB-444;870;6050;csekk
CCC-555;240;2100;-
DDD-666;1415;9950;kártya
EEE-777;480;3650;készpénz
FFF-888;750;5300;utalás
GGG-999;1025;7000;csekk
HHH-111;150;1550;-
